translate            [træns'let]          vt. 翻译；转化；解释；转变为；调动 vi. 翻译
momentum             [mo'mɛntəm]          n. 势头；[物] 动量；动力；冲力
intensive            [ɪn'tɛnsɪv]          adj. 加强的；集中的；透彻的；加强语气的 n. 加强器
accord               [ə'kɔrd]             n. 符合；一致；协议；自愿 vt. 使一致；给予 vi. 符合；一致
environment          [ɪn'vaɪrənmənt]      n. 环境，外界
debate               [dɪ'bet]             vt. 辩论，争论，讨论 vi. 辩论，争论，讨论 n. 辩论；辩论会
comprehension        [,kɑmprɪ'hɛnʃən]     n. 理解；包含
algorithm            ['ælgə'rɪðəm]        n. [计][数] 算法，运算法则
protein              ['protin]            n. 蛋白质；朊 adj. 蛋白质的
contain              [kən'ten]            vt. 包含；控制；容纳；牵制（敌军） vi. 含有；自制
hypothesis           [haɪ'pɑθəsɪs]        n. 假设
bizarre              [bɪ'zɑr]             adj. 奇异的；奇异的（指态度，容貌，款式等）
mineral              ['mɪnərəl]           n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示） adj. 矿物的；矿质的
advocate             [ˈædvəkeɪt]          vt. 提倡，主张，拥护 n. 提倡者；支持者；律师
predator             ['prɛdətɚ]           n. [动] 捕食者；[动] 食肉动物；掠夺者
negative             ['nɛɡətɪv]           adj. [数] 负的；消极的；否定的；阴性的 n. 否定；负数；[摄] 底片 vt. 否定；拒绝
eliminate            [ɪ'lɪmɪnet]          vt. 消除；排除
imminent             ['ɪmɪnənt]           adj. 即将来临的；迫近的
devastating          ['devəsteitiŋ]       adj. 毁灭性的；全然的 v. 摧毁（devastate的ing形式）；毁坏
practically          ['præktɪkli]         adv. 实际地；几乎；事实上
deposit              [dɪ'pɑzɪt]           n. 存款；押金；订金；保证金；沉淀物 vt. 使沉积；存放 vi. 沉淀
intuitive            [ɪn'tuɪtɪv]          adj. 直觉的；凭直觉获知的
parliament           ['pɑrləmənt]         n. 议会，国会
provision            [prə'vɪʒn]           n. 规定；条款；准备；[经] 供应品 vt. 供给…食物及必需品
formulate            ['fɔrmjə'let]        vt. 规划；用公式表示；明确地表达
fixture              ['fɪkstʃɚ]           n. 设备；固定装置；固定于某处不大可能移动之物
galactic             [gə'læktɪk]          adj. 银河的；乳汁的
conductive           [kən'dʌktɪv]         adj. 传导的；传导性的；有传导力的
intimacy             ['ɪntɪməsi]          n. 亲密；性行为；亲昵行为；隐私
pyramid              ['pɪrəmɪd]           n. 金字塔；角锥体 vi. 渐增；上涨；成金字塔状 vt. 使…渐增；使…上涨；使…成金字塔状
irrational           [ɪ'ræʃənl]           adj. 不合理的；无理性的；荒谬的 n. [数] 无理数
ingenuity            [,ɪndʒə'nuəti]       n. 心灵手巧，独创性；精巧；精巧的装置 n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”
outperform           [,aʊtpɚ'fɔrm]        vt. 胜过；做得比……好
glamour              ['ɡlæmə]             n. 魅力，魔力；迷人的美 vt. 迷惑，迷住
municipal            [mju'nɪsɪpl]         adj. 市政的，市的；地方自治的
intimidate           [ɪn'tɪmɪdet]         vt. 恐吓，威胁；胁迫
milestone            ['maɪlston]          n. 里程碑，划时代的事件 n. (Milestone)人名；(英)迈尔斯通
immense              [ɪ'mɛns]             adj. 巨大的，广大的；无边无际的；非常好的
magnitude            ['mæɡnɪtud]          n. 大小；量级；[地震] 震级；重要；光度
endeavor             [ɪn'dɛvɚ]            n. 努力；尽力（等于endeavour） vi. 努力；尽力（等于endeavour） vt. 努力；尽力（等于endeavour）
attendant            [ə'tɛndənt]          adj. 伴随的；侍候的 n. 服务员，侍者；随员，陪从
alleviate            [ə'livɪ'et]          vt. 减轻，缓和
compensate           ['kɑmpɛnset]         vi. 补偿，赔偿；抵消 vt. 补偿，赔偿；付报酬
subtle               ['sʌtl]              adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
insight              ['ɪn'saɪt]           n. 洞察力；洞悉 n. (Insight)人名；(英)因赛特
dismiss              [dɪs'mɪs]            vt. 解散；解雇；开除；让...离开；不予理会、不予考虑 vi. 解散
aggravate            ['æɡrəvet]           vt. 加重；使恶化；激怒
glimpse              [ɡlɪmps]             n. 一瞥，一看 vi. 瞥见 vt. 瞥见
excellent            ['ɛksələnt]          adj. 卓越的；极好的；杰出的
destructive          [dɪ'strʌktɪv]        adj. 破坏的；毁灭性的；有害的，消极的
loyalty              ['lɔɪəlti]           n. 忠诚；忠心；忠实；忠于…感情
pension              ['pɛnʃən]            n. 退休金，抚恤金；津贴；膳宿费 vt. 发给养老金或抚恤金
conserve             [kən'sɝv]            vt. 保存；将…做成蜜饯；使守恒 n. 果酱；蜜饯
escort               [ˈeskɔːrt]           n. 陪同；护航舰；护卫队；护送者 vt. 护送；陪同；为…护航
temp                 [tɛmp]               n. 临时雇员 vt. 做临时工作 abbr. 温度（temperature）
tempt                [tɛmpt]              vt. 诱惑；引起；冒…的风险；使感兴趣
inferior             [ɪn'fɪrɪɚ]           adj. 差的；自卑的；下级的，下等的 n. 下级；次品
familiarity          [fə,mɪlɪ'ærəti]      n. 熟悉，精通；亲密；随便
breeds               [bri:d]              n. [生物] 品种；族类（breed的复数形式） v. 繁殖；导致（breed的三单形式）；引起；养育
contempt             [kən'tɛmpt]          n. 轻视，蔑视；耻辱
compassion           [kəm'pæʃən]          n. 同情；怜悯
correlation          [,kɔrə'leʃən]        n. [数] 相关，关联；相互关系
reverently           ['rɛvərəntli]        adv. 虔诚地，恭敬地
discourse            ['dɪskɔrs]           n. 论述；谈话；演讲 vi. 演说；谈论；讲述 vt. 说出；演奏出
lyrics               ['lɪrɪks]            n. 歌词；抒情诗（lyric的复数）
description          [dɪ'skrɪpʃən]        n. 描述，描写；类型；说明书
greeter              [ˈɡriːtər]           n. 门迎，迎宾，迎候顾客的服务员
setup                ['sɛt,ʌp]            n. 设置；机构；组织；调整；计划；装备
specific             [spɪ'sɪfɪk]          adj. 特殊的，特定的；明确的；详细的；[药] 具有特效的 n. 特性；细节；特效药
kind                 [kaɪnd]              n. 种类；性质 adj. 和蔼的；宽容的；令人感激的 n. (Kind)人名；(德、俄、法、捷)金德；(瑞典)欣德
conscious            ['kɑnʃəs]            adj. 意识到的；故意的；神志清醒的
financial            [faɪˈnænʃəl;fəˈnæ-]  adj. 金融的；财政的，财务的
product              ['prɑdʌkt]           n. 产品；结果；[数] 乘积；作品
production           [prə'dʌkʃən]         n. 成果；产品；生产；作品
productivity         [,prodʌk'tɪvəti]     n. 生产力；生产率；生产能力
productive           [prə'dʌktɪv]         adj. 能生产的；生产的，生产性的；多产的；富有成效的
perverse             [pɚ'vɝs]             adj. 堕落的，不正当的；倔强的；违反常情的
effective            [ɪ'fɛktɪv]           adj. 有效的，起作用的；实际的，实在的；给人深刻印象
efficiency           [ɪˈfɪʃənsɪ]          n. 效率；效能；功效
communicate          [kə'mjunɪket]        vi. 交流，通讯；相通；传达；感染 vt. 传达；感染；显露
precise              [prɪ'saɪs]           adj. 精确的；明确的；严格的
amateur              [ˈæmətər]            n. 爱好者；业余爱好者；外行 adj. 业余的；外行的
pattern              ['pætɚn]             n. 模式；图案；样品 vt. 模仿；以图案装饰 vi. 形成图案
tension              ['tɛnʃən]            n. 张力，拉力；紧张，不安；电压 vt. 使紧张；使拉紧
ridiculous           [rɪ'dɪkjələs]        adj. 可笑的；荒谬的
expend               [ɪk'spɛnd]           vt. 花费；消耗；用光；耗尽
extend               [ɪk'stɛnd]           vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价 vi. 延伸；扩大；伸展；使疏开
generate             ['dʒɛnəret]          vt. 使形成；发生；生殖；产生物理反应
confidence           ['kɑnfɪdəns]         n. 信心；信任；秘密 adj. （美）诈骗的；骗得信任的
wasted               ['westɪd]            adj. 浪费的 v. 浪费（waste的过去式）
insistence           [ɪn'sɪst(ə)ns]       n. 坚持，强调；坚决主张
dusk                 [dʌsk]               n. 黄昏，薄暮；幽暗，昏暗 adj. 微暗的 vt. 使变微暗 vi. 变微暗
prompt               [prɑmpt]             adj. 敏捷的，迅速的；立刻的 vt. 提示；促进；激起；（给演员）提白 n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格 adv. 准时地
visualization        [,vɪʒʊəlɪ'zeʃən]     n. 形象化；清楚地呈现在心
archive              ['ɑrkaɪv]            n. 档案馆；档案文件 vt. 把…存档
psychological        [,saɪkə'lɑdʒɪkl]     adj. 心理的；心理学的；精神上的
edit                 ['ɛdɪt]              vt. 编辑；校订 n. 编辑工作 n. (Edit)人名；(罗、匈)埃迪特
credit               ['krɛdɪt]            n. 信用，信誉；[金融] 贷款；学分；信任；声望 vt. 相信，信任；把…归给，归功于；赞颂
rapidly              ['ræpɪdli]           adv. 迅速地；很快地；立即
dramatically         [drə'mætɪkli]        adv. 戏剧地；引人注目地 adv. 显著地，剧烈地
state                [stet]               n. 国家；州；情形 vt. 规定；声明；陈述 adj. 国家的；州的；正式的 n. (State)人名；(罗、瑞典)斯塔特；(英)斯泰特
smartphone           [ˈsmɑːrtfoʊn]        n. 智能手机
llama                ['lɑmə]              n. 美洲驼；无峰驼 n. (Llama)人名；(西)利亚马
composable           [kəm'pəuzəbl]        adj. 组成的
optimize             ['ɑptɪmaɪz]          vt. 使最优化，使完善 vi. 优化；持乐观态度
animation            [,ænɪ'meʃən]         n. 活泼，生气；激励；卡通片绘制
transparency         [træns'pærənsi]      n. 透明，透明度；幻灯片；有图案的玻璃
opacity              [o'pæsəti]           n. 不透明；不传导；暧昧
transfer             [træns'fɝ]           n. 转让；转移；传递；过户 vi. 转让；转学；换车 vt. 使转移；调任
anchor               ['æŋkɚ]              n. 锚；抛锚停泊；靠山；新闻节目主播 vt. 抛锚；使固定；主持节目 vi. 抛锚 adj. 末棒的；最后一棒的
alternatively        [ɔl'tɝnətɪvli]       adv. 非此即彼；二者择一地；作为一种选择
exclude              [ɪk'sklʊd]           vt. 排除；排斥；拒绝接纳；逐出
pathological         ['pæθə'lɑdʒɪkl]      adj. 病理学的；病态的；由疾病引起的（等于pathologic）
feature              ['fitʃɚ]             n. 特色，特征；容貌；特写或专题节目 vi. 起重要作用 vt. 特写；以…为特色；由…主演
exist                [ɪɡ'zɪst]            vi. 存在；生存；生活；继续存在
primary              ['praɪmɛri]          adj. 主要的；初级的；基本的 n. 原色；最主要者
constant             ['kɑnstənt]          adj. 不变的；恒定的；经常的 n. [数] 常数；恒量 n. (Constant)人名；(德)康斯坦特
regression           [rɪ'ɡrɛʃən]          n. 回归；退化；逆行；复原
shuffle              ['ʃʌfl]              v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱 n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
logistic             [lo'dʒɪstɪk]         adj. 后勤学的；[数] 符号逻辑的
augmentation         [,ɔgmɛn'teʃən]       n. 增加，增大；增加物
single               ['sɪŋɡl]             adj. 单一的；单身的；单程的 n. 一个；单打；单程票 vt. 选出 vi. 击出一垒安打
consume              [kənˈsum]            vt. 消耗，消费；使…着迷；挥霍 vi. 耗尽，毁灭；耗尽生命
symbolic             [sɪm'bɑlɪk]          adj. 象征的；符号的；使用符号的
execute              ['ɛksɪkjut]          vt. 实行；执行；处死
instance             ['ɪnstəns]           n. 实例；情况；建议 vt. 举...为例
console              ['kɑnsol]            n. [计] 控制台；[电] 操纵台 vt. 安慰；慰藉 n. (Console)人名；(意、罗)孔索莱
cyan                 ['saɪən]             n. 蓝绿色 adj. 蓝绿色的
prevent              [pri'vɛnt]           vt. 预防，防止；阻止 vi. 妨碍，阻止
period               ['pɪrɪəd]            n. 周期，期间；时期；月经；课时；（语法学）句点，句号 adj. 某一时代的
comma                ['kɑmə]              n. 逗号；停顿
navigator            ['nævɪɡetɚ]          n. 航海家；领航员；驾驶员
permitted            [pə'mit]             adj. 被允许的 v. 允许（permit的过去分词）
provocative          [prə'vɑkətɪv]        adj. 刺激的，挑拨的；气人的 n. 刺激物，挑拨物；兴奋剂
implementation                            n. [计] 实现；履行；安装启用
military             ['mɪlətɛri]          adj. 军事的；军人的；适于战争的 n. 军队；军人
uniform              [junəˌfɔrm]          adj. 统一的；一致的；相同的；均衡的；始终如一的 n. 制服 vt. 使穿制服；使成一样
diamond              ['daɪəmənd]          n. 钻石，金刚石；菱形；方块牌 adj. 菱形的；金刚钻的 n. (Diamond)人名；(英、意、葡)戴蒙德；(法)迪亚蒙
contaminate          [kən'tæmɪnet]        vt. 污染，弄脏 n. 受到污染的
avoid                [ə'vɔɪd]             vt. 避免；避开，躲避；消除
scope                [skop]               n. 范围；余地；视野；眼界；导弹射程 vt. 审视
Nevada               [nə'vædə]            n. 内华达（美国州名）
registration         ['rɛdʒɪ'streʃən]     n. 登记；注册；挂号
